Soil_depth_cm,Ncontent_percentage_on_drymass
67,0.86
72,1.59
10,1.39
14,1.23
42,1.27
17,1.74
51,0.58
38,1.22
7,1.16
34,2.41
21,1.92
1,1.67
7,1.42
16,1.54
3,1.49
51,0.06
5,1.07
63,2.38
80,0.43
105,0.4
40,0.1
2,1.39
23,1.49
13,1.32
63,0.09
61,0.06
9,1.04
22,1.76
48,0.01
57,0.72
32,1.09
1,1.55
4,1.36
55,0.21
31,1.47
2,1.46
1,1.65
49,1.44
60,0.23
36,2.14
7,1.52
26,0.38
77,0.77
99,1.83
56,0.12
95,0.35
11,1.36
15,1.45
11,1.64
13,1.14
50,2.05
2,1.55
4,1.2
17,1.64
49,1.72
75,0.55
65,2.27
28,1.22
36,1.56
2,1.88
9,1.09
25,1.1
40,1.53
27,1.27
78,2.21
88,2.34
35,0.08
7,0.97
9,1.09
3,1.39
